OBJECTID,canada_points,X,Y,bc_forst_carb,wc2_0_bio_10m_01,wc2_0_bio_10m_04,wc2_0_bio_10m_06,wc2_0_bio_10m_11,wc2_0_bio_10m_13,wc2_0_bio_10m_16
23,22,-123.199622319769816,58.520085163239138,0.000000000000000,-0.527312517166138,1255.273605609014567,-25.722249984741211,-16.627416769663494,111.000000000000000,275.000000000000000
24,23,-123.090305169560423,53.005831248826979,42.000000000000000,3.087906307230393,847.324664418944849,-16.365749359130859,-7.575541496276855,69.000000000000000,185.000000000000000
25,24,-123.862854202672210,48.415303159396274,,7.939996917421619,486.134815269126364,-2.422743797302246,2.425872484842936,331.000000000000000,970.000000000000000
26,25,-123.767472775678328,50.956399892426859,,-1.813958287239075,735.902377717270838,-12.938249588012695,-9.058583259582520,121.000000000000000,353.000000000000000
27,26,-123.464817752846074,54.932397883508074,90.000000000000000,1.477760386963685,890.988495484985833,-16.994499206542969,-9.576999982198080,70.000000000000000,194.000000000000000
28,27,-127.725553941370649,56.222583155570717,0.000000000000000,1.161718722432852,862.098542698188339,-17.450250625610352,-9.486916681130728,81.000000000000000,225.000000000000000
29,28,-128.907723533131389,58.258554533195692,,-2.787125111867984,898.404939415113517,-19.670499801635742,-13.345000187555948,77.000000000000000,222.000000000000000
30,29,-124.785546202647367,54.580051553659679,7.000000000000000,2.726562523903946,911.537019823839728,-16.927749633789063,-9.050499916076660,55.000000000000000,156.000000000000000
31,30,-118.020105085826529,52.246649794980236,,-0.763531272610029,830.414520431567212,-16.465250015258789,-10.692958354949951,115.000000000000000,314.000000000000000
32,31,-119.959615273286502,52.187433175455539,56.000000000000000,1.430958269163966,755.907010683380008,-14.048749923706055,-7.651208440462749,132.000000000000000,357.000000000000000
33,32,-127.042884071573269,56.228755095206239,0.000000000000000,-0.020520833631357,896.380494068259509,-19.048749923706055,-11.135416587193808,71.000000000000000,205.000000000000000
34,33,-132.624035198155696,53.298312181860979,123.000000000000000,6.963049100091060,387.499995817721128,0.293410867452621,2.987144673864047,378.000000000000000,1046.000000000000000
35,34,-126.735750970474044,55.090324754216965,165.000000000000000,1.962291697661082,865.187993271328196,-17.097999572753906,-9.042916645606359,66.000000000000000,174.000000000000000
36,35,-121.681095250832925,56.107151158636668,,2.806552170465390,993.644098421113995,-17.007999420166016,-9.790874878565470,81.000000000000000,215.000000000000000
37,36,-131.081998135221085,58.757289742656802,,-1.603916689753532,1004.293942123125703,-21.829500198364258,-14.234249989191690,67.000000000000000,185.000000000000000
38,37,-135.013742437660028,59.679699613337512,,-1.746437499920527,889.142261132938529,-20.264249801635742,-12.381374994913736,127.000000000000000,344.000000000000000
39,38,-128.980856218549292,56.265162573211732,,0.996749992171923,761.009008552799969,-14.963500022888184,-7.972833186388016,129.000000000000000,347.000000000000000
40,39,-121.979844642881886,58.541510643148627,0.000000000000000,-0.888416697581609,1382.399085162548772,-28.489749908447266,-18.715791702270508,92.000000000000000,224.000000000000000
41,40,-123.070248399295636,54.842833886267030,229.000000000000000,2.540447879582644,926.962107681053340,-16.947500228881836,-9.165083428223928,71.000000000000000,204.000000000000000
42,41,-120.201344425396002,50.497035654324790,60.000000000000000,4.757062577332060,840.808427845997699,-13.998999595642090,-5.764916546642780,52.000000000000000,136.000000000000000
