,COMBINED_C,WC2_0_BIO_10M_01,WC2_0_BIO_10M_04,WC2_0_BIO_10M_06,WC2_0_BIO_10M_11,WC2_0_BIO_10M_13,WC2_0_BIO_10M_16,PREDSEQ,MIN_INT,MAX_INT,PREDINT_WIDTH
45,127.0,-1.379051978389422,1375.8402127530069,-28.85149955749512,-19.316666444142655,93.0,231.0,1.3910965363368157,-1.0529741048812868,2.29885196685791,3.3518260717391968
49,31.0,3.3521979308376713,906.900256931929,-16.394250869750973,-8.23287512610356,69.0,186.0,-0.28425540800485094,-1.0529741048812868,1.334081506168806,2.387055611050093
53,119.0,7.814428365634132,456.19464753350184,-1.576308488845825,2.864462782318393,498.0,1384.0,4.287664118422708,-1.341106522955225,9.062826156616213,10.403932679571438
54,20.0,-2.140770827730497,946.8344318424549,-20.530500411987305,-13.481124877929688,95.0,248.0,-0.1463060085574362,-1.0529741048812868,1.334081506168806,2.387055611050093
55,183.0,6.0306526608765125,533.5714433046179,-4.543006896972656,-0.14009326696395902,522.0,1500.0,2.6727492346598063,-2.659282684326172,9.062826156616213,11.722108840942385
59,16.0,6.9212701395154,482.2777423305495,-2.873655796051025,1.5958781739075982,429.0,1235.0,3.0007691331715627,-1.0111443996429441,8.140194758258334,9.151339157901278
61,125.0,2.571229150208334,782.8843197743089,-14.188249588012695,-7.070166662335397,141.0,393.0,1.437271910536954,-0.6662650207663658,2.29885196685791,2.965116987624276
63,1.0,-1.7621562580267591,1007.0807027766484,-21.40074920654297,-14.14383339881897,81.0,207.0,-0.24780378948375312,-1.0529741048812868,1.334081506168806,2.387055611050093
64,6.0,2.234395856658618,1006.8110707654373,-17.953500747680664,-10.354791720708214,83.0,220.0,-0.23400802174029448,-1.0529741048812868,1.334081506168806,2.387055611050093
66,33.0,-1.929843778411547,1011.162557094721,-22.026750564575195,-14.405541896820068,67.0,193.0,-0.2011607180667621,-1.0529741048812868,1.334081506168806,2.387055611050093
67,5.0,2.601802002638578,875.1141555163609,-17.172500610351566,-8.526333411534628,67.0,179.0,-0.3134788686664804,-1.0529741048812868,1.334081506168806,2.387055611050093
69,167.0,-0.11510412395000501,726.9020757710184,-14.46424961090088,-8.292458295822144,182.0,512.0,0.6690740746352815,-1.0529741048812868,2.1638822555541988,3.216856360435486
73,169.0,2.1130728734036293,867.248372354461,-16.530250549316403,-8.770583316683767,117.0,335.0,1.2848111572125702,-1.0529741048812868,2.29885196685791,3.3518260717391968
80,115.0,2.0019999618331594,802.4394497394363,-16.311750411987305,-7.982249955336252,59.0,162.0,1.1784643659730936,-0.813949384064581,2.248010678489604,3.061960062554185
82,0.0,-0.7703541504840059,965.0413391436366,-19.25174903869629,-12.11341643333435,125.0,315.0,-0.06477551385359812,-1.0529741048812868,1.5239049196243293,2.576879024505616
83,59.0,0.779281278451284,1002.2788472682067,-18.86949920654297,-11.447958310445152,99.0,258.0,-0.00885900492404645,-1.0529741048812868,1.344442367553711,2.3974164724349976
86,123.0,1.1229062533626952,696.6617556458493,-11.887249946594238,-7.017750084400178,146.0,395.0,0.5851766055967865,-1.0529741048812868,2.1638822555541988,3.216856360435486
87,79.0,4.758281295498212,839.9534974732643,-13.630499839782715,-5.779124935468037,78.0,212.0,0.6583958802583117,-1.0529741048812868,1.304762125015259,2.357736229896546
89,0.0,-2.0295937483509383,968.5444889068029,-20.721750259399414,-13.871291716893516,79.0,206.0,-0.25235928008397196,-1.0529741048812868,1.334081506168806,2.387055611050093
90,7.0,0.8727292741338409,889.7776005975378,-17.555749893188473,-9.888083259264626,86.0,238.0,-0.2780424623645536,-1.0529741048812868,1.334081506168806,2.387055611050093
92,75.0,1.6861561859647431,845.3924418197412,-16.452999114990234,-8.968499819437662,63.0,171.0,0.6036175213888731,-1.0529741048812868,1.3395209583958811,2.3924950632771678
93,33.0,-0.700010411441326,895.0408113846803,-19.12649917602539,-11.490791638692222,86.0,234.0,-0.19265961673698606,-1.0529741048812868,1.334081506168806,2.387055611050093
94,11.0,-0.870927127699057,870.5857714763235,-18.922500610351566,-11.524416883786518,83.0,226.0,-0.2585786968490855,-1.0529741048812868,1.334081506168806,2.387055611050093
95,96.0,2.87515630821387,826.7481682027524,-16.222499847412106,-7.561416586240133,66.0,176.0,0.828425074180759,-0.813949384064581,1.6291389465332031,2.443088330597784
96,120.0,-0.038333334028721,1178.9603546273822,-23.64974975585937,-14.872374852498375,107.0,266.0,1.411096729643773,-1.0529741048812868,2.29885196685791,3.3518260717391968
97,301.0,1.3405416260162992,684.9994519630789,-12.440750122070312,-6.489000101884207,200.0,546.0,1.1054117339749578,-1.0529741048812868,4.460276618560005,5.513250723441292
98,109.0,-1.341489588220914,786.4103376817222,-15.650750160217285,-10.665416638056435,138.0,377.0,1.158159186573145,-0.6662650207663658,2.234741353988648,2.9010063747550134
99,13.0,-0.649520844221115,867.7873723114011,-17.946250915527344,-11.141833464304604,78.0,218.0,-0.29550042795280645,-1.0529741048812868,1.334081506168806,2.387055611050093
101,21.0,1.076593791445096,908.8237776742064,-17.850250244140625,-10.303791681925457,68.0,190.0,-0.309735413788409,-1.0529741048812868,1.334081506168806,2.387055611050093
104,19.0,-1.130218784014384,997.8377557410028,-21.460500717163086,-13.79212522506714,68.0,189.0,-0.28658225705611784,-1.0529741048812868,1.334081506168806,2.387055611050093
105,44.0,3.8392915676037473,807.8651593180989,-13.630000114440918,-6.194750140110653,61.0,153.0,0.25807026491773677,-1.0529741048812868,1.344442367553711,2.3974164724349976
106,1.0,0.28084373846650107,902.4560821263989,-17.278249740600586,-10.528249979019163,113.0,294.0,-0.017788943929247635,-1.0529741048812868,2.054561573266984,3.1075356781482713
107,20.0,1.263041666398446,732.7061229673793,-14.344249725341795,-7.549250031510988,127.0,357.0,-0.11755404736843596,-1.0529741048812868,1.7586753755807902,2.8116494804620773
108,61.0,7.916937629381817,574.6595638536636,-4.6257500648498535,1.1725833813349409,363.0,961.0,-0.1423587850050249,-3.5243654251098633,2.0825182588241624,5.606883683934026
109,0.0,0.36049993118892104,1028.497539963809,-19.852500915527344,-12.197083632151283,108.0,274.0,-0.10013991176408453,-1.0529741048812868,1.4386602073907866,2.4916343122720734
110,280.0,8.529187564039603,570.0967939408322,-3.657999992370605,1.7987082799275718,299.0,812.0,1.5648274910422186,-2.537135362625122,6.360610008239746,8.897745370864868
111,49.0,1.884145878255367,948.0639243626465,-18.430500030517575,-10.162749866644539,55.0,153.0,0.323507285228936,-1.0529741048812868,1.344442367553711,2.3974164724349976
112,52.0,2.7957396140166875,761.9416063418743,-13.68025016784668,-6.61162503560384,87.0,231.0,-0.22829748688680523,-1.0529741048812868,1.334081506168806,2.387055611050093
113,183.0,4.012833355615538,704.5390093850094,-10.89424991607666,-4.411958381533624,163.0,452.0,1.1727918358535978,-0.15345201715826978,2.1638822555541988,2.3173342727124684
115,48.0,-2.006156178812186,830.1721132806433,-17.866750717163086,-11.922708352406822,100.0,276.0,0.09491202821843958,-1.0529741048812868,1.8445049419904527,2.8974790468717395
117,0.0,-1.153489531949162,1077.6553883712663,-21.916500091552734,-14.218291680018108,106.0,263.0,-0.1401586232876574,-1.0529741048812868,1.3395209583958811,2.3924950632771678
118,12.0,-2.549593694508076,966.9324204667615,-21.261499404907227,-14.316291570663452,83.0,216.0,-0.24857041325090928,-1.0529741048812868,1.334081506168806,2.387055611050093
119,90.0,1.148239569117625,843.820661627245,-16.644750595092773,-9.403250058492024,87.0,245.0,0.9134793189548116,-1.0529741048812868,1.6007663258701794,2.6537404307514665
120,9.0,2.7209895739021404,841.1648464568956,-15.902000427246096,-7.827666918436687,88.0,236.0,-0.26600152918348036,-1.0529741048812868,1.334081506168806,2.387055611050093
121,0.0,2.9253854689498735,775.9034721081017,-13.656749725341795,-6.661999980608622,118.0,331.0,-0.07286410941135728,-1.0529741048812868,2.054561573266984,3.1075356781482713
124,132.0,2.4187708459794517,754.444514686531,-13.982999801635742,-6.797208239634831,78.0,221.0,1.1762279302840055,-1.0529741048812868,2.29885196685791,3.3518260717391968
125,190.0,0.640781261026859,788.5627143948153,-14.616250038146973,-8.822499891122181,197.0,569.0,1.067178530507246,-0.7120641547737824,2.29885196685791,3.0109161216316926
127,54.0,1.897947939733664,714.6365818549968,-14.035249710083008,-6.7563332815965005,51.0,145.0,-0.12475811017257755,-1.0529741048812868,1.3224939443203128,2.3754680492016
