OBJECTID,OR_random_Merge,X,Y,raster_OR_c,raster_WA_c
1,1,-118.512211664717540,44.219978544641378,-0.062215108987867,
2,2,-118.589177425345497,44.161284044231024,-0.062215108987867,
3,3,-118.606471730307135,43.957033685294505,-0.062215108987867,
4,4,-118.597461969411711,44.179292421445382,-0.062215108987867,
5,5,-118.548210332270628,44.179804148805772,-0.062215108987867,
6,6,-118.671850873959158,43.988574492417399,0.398543774284117,
7,7,-118.608878418577831,44.022425121167089,0.398543774284117,
8,8,-118.709951717932427,44.057849591052900,0.398543774284117,
9,9,-118.785914180237569,44.075481037135603,0.398543774284117,
10,10,-118.700116784150850,43.972538094870458,0.398543774284117,
11,11,-118.825914631628848,43.842902888529864,0.034693692352475,
12,12,-118.757554474622225,43.886361780606705,0.034693692352475,
13,13,-118.770967183161076,43.859126195052227,0.034693692352475,
14,14,-118.600768248058216,43.694465832466449,0.034693692352475,
15,15,-118.555097005811831,43.684125643299524,-0.042197133307725,
16,16,-118.359647070808023,43.825915449730928,0.026019539465039,
17,17,-118.695597958548490,43.824071344563151,0.026019539465039,
18,18,-118.585723220360421,43.865271640442643,0.026019539465039,
19,19,-118.641051881621365,43.871805775404141,0.026019539465039,
20,20,-118.493143230456610,43.860037780618711,0.026019539465039,
21,21,-118.325990046323511,44.007496019355926,0.517442635262068,
22,22,-118.330140310458717,43.884098901018660,0.517442635262068,
23,23,-118.293180067633045,43.809650929997076,0.517442635262068,
24,24,-118.334685636642234,43.795834422393114,,
25,25,-118.445814359304620,44.076054826357961,0.517442635262068,
26,26,-118.452983360674409,44.302223893217956,0.333671868992410,
27,27,-118.447116143982726,44.294366915953958,0.333671868992410,
28,28,-118.473303477158197,44.283557663299064,0.333671868992410,
29,29,-118.298584708814417,44.120443876114905,0.333671868992410,
30,30,-118.498920118680587,44.175483536406887,0.333671868992410,
31,31,-118.221490887134394,44.134510478421134,-0.941859695145609,
32,32,-118.189672454462425,44.192668237861085,-0.941859695145609,
33,33,-118.158784746656750,44.194754083628652,-0.941859695145609,
34,34,-118.372702593879694,44.327769059019317,-0.941859695145609,
35,35,-118.204806401560631,44.268500057109748,-0.941859695145609,
36,36,-116.915911351142313,44.870443859425336,-0.056724989059862,
37,37,-117.051774157652233,45.070597778157776,-0.056724989059862,
38,38,-117.012988931058658,44.943094171386747,-0.056724989059862,
39,39,-117.035958401231198,44.805809217731621,-0.056724989059862,
40,40,-117.137642382218473,44.953391793580806,-0.056724989059862,
41,41,-116.801684327377245,45.002833086355110,0.912190745727850,
42,42,-116.784508960098606,45.078336506150549,0.912190745727850,
43,43,-116.763270959399449,44.994596664631274,0.912190745727850,
44,44,-116.671730775544631,45.164396061934838,0.912190745727850,
45,45,-116.721542515870112,45.085341553638614,0.912190745727850,
46,46,-118.221913429522829,44.557890280831430,0.815070184899577,
47,47,-118.312978167655899,44.688069652435672,0.815070184899577,
48,48,-118.309106675791384,44.525091093090168,0.815070184899577,
49,49,-118.338982606519949,44.496006333462276,0.815070184899577,
50,50,-118.350193541817816,44.648496115619423,0.815070184899577,
51,51,-118.230512700958741,44.365283176325363,0.186858785525855,
52,52,-118.187771925221000,44.426159540401841,0.186858785525855,
53,53,-118.406779068353444,44.384897476712126,0.186858785525855,
54,54,-118.350541679881985,44.350478020438914,0.186858785525855,
55,55,-118.294994043221664,44.347314396957472,0.186858785525855,
56,56,-118.120251786518793,44.433329390634469,-1.048171979916095,
57,57,-118.097524258743135,44.367990365739388,-1.048171979916095,
58,58,-118.206938378296400,44.343985162167257,-1.048171979916095,
59,59,-118.206430569741372,44.295821972597139,-1.048171979916095,
60,60,-118.137126140102509,44.382589606541387,-1.048171979916095,
61,61,-118.012086036112862,44.490507774054322,0.639568247984629,
62,62,-117.955529383723160,44.441803551014630,,
63,63,-118.036911023136781,44.615546599728418,0.639568247984629,
64,64,-117.949379022669120,44.547489969335004,0.639568247984629,
65,65,-117.906295643469775,44.491637676718540,0.639568247984629,
66,66,-117.792142706061782,44.522556411363610,0.293249277101259,
67,67,-117.761803467686491,44.527602403259948,0.293249277101259,
68,68,-117.726751838466384,44.453519477344514,0.293249277101259,
69,69,-117.608913359941539,44.459333672441630,0.293249277101259,
70,70,-117.801476573016487,44.494221958940727,0.293249277101259,
71,71,-118.202565781796409,44.759248099092531,0.521437188996184,
72,72,-118.270139144132088,44.785999709166163,0.521437188996184,
73,73,-118.123319858887839,44.660014717073238,0.521437188996184,
74,74,-118.159357146297680,44.722076419759560,0.521437188996184,
75,75,-118.264015210539583,44.803247613519829,0.521437188996184,
76,76,-117.812403129017810,44.582663967189603,-0.038097551779524,
77,77,-117.935062096905597,44.597514410743429,-0.038097551779524,
78,78,-117.779697108108564,44.588991697243671,-0.038097551779524,
79,79,-117.884068958730381,44.582712049116651,-0.038097551779524,
80,80,-117.899576497850944,44.727199026972471,-0.038097551779524,
81,81,-118.000377277948530,44.963318926757609,0.632507628229955,
82,82,-118.093079713094369,44.832557393601007,0.632507628229955,
83,83,-118.004862339229987,44.789456440950744,0.632507628229955,
84,84,-118.038621846942419,44.808956107777362,0.632507628229955,
85,85,-118.092105398354249,44.850814805994162,0.632507628229955,
86,86,-118.023142755183585,44.997214182573941,0.659218357231454,
87,87,-118.165918449602259,44.928252635732747,0.659218357231454,
88,88,-118.171770229561275,45.040061944127501,0.659218357231454,
89,89,-117.975179780203632,45.011510303111606,0.659218357231454,
90,90,-118.164797268951645,44.907754991953084,0.659218357231454,
91,91,-117.986063624085091,45.149653802546823,1.186008650566541,
92,92,-117.748860264449036,45.102478925388937,1.129921183662767,
93,93,-117.847502212153529,45.108178371399674,1.186008650566541,
94,94,-118.035969129901389,45.046604280709175,1.186008650566541,
95,95,-117.857629947521502,45.081429478495465,1.186008650566541,
96,96,-117.688436614532691,44.955732150766153,0.784677658484949,
97,97,-117.587587517981547,45.035653375766458,0.784677658484949,
98,98,-117.714563115308295,44.972227165075083,0.784677658484949,
99,99,-117.645992888259002,44.960373299530829,0.784677658484949,
100,100,-117.592641653015846,45.063384212333460,0.784677658484949,
101,101,-117.487873214852925,44.987187190958593,0.636677597234404,
102,102,-117.435950157686250,44.992828724276649,0.636677597234404,
103,103,-117.552407810977400,44.867819660700206,0.636677597234404,
104,104,-117.661326463864327,44.832931378613921,0.636677597234404,
105,105,-117.621270518690494,44.764055408567458,0.636677597234404,
106,106,-117.344371090547213,45.116368155625423,0.599190261247128,
107,107,-117.428039040991280,45.041175941672236,0.599190261247128,
108,108,-117.421538376754143,45.012789642901112,0.599190261247128,
109,109,-117.291420851275518,45.017398722669611,0.599190261247128,
110,110,-117.421274683227693,45.042777590879950,0.599190261247128,
111,111,-116.497551547404839,45.374327289687756,,
112,112,-116.657750142858958,45.358358337117863,0.111338582548640,
113,113,-116.655757757839865,45.160425623620881,0.912190745727850,
114,114,-116.445023965355801,45.469157711622529,,
115,115,-116.534702924345083,45.367077318880433,0.111338582548640,
116,116,-116.395627495342183,45.604032185708832,-0.020629250491988,
117,117,-116.387255227105527,45.621112650062798,-0.020629250491988,
118,118,-116.433757351306156,45.683064662637719,-0.020629250491988,
119,119,-116.527013357702629,45.635945774944787,-0.020629250491988,
120,120,-116.395073072065088,45.574395851684244,-0.020629250491988,
121,121,-116.482114637325822,45.883191111821702,0.714678711261847,
122,122,-116.698274927426212,45.843435396314192,0.714678711261847,
123,123,-116.565218643854166,45.757986864267139,0.714678711261847,
124,124,-116.563804093206727,45.813047120914860,0.714678711261847,
125,125,-116.657570608614151,45.898932874847958,0.714678711261847,
126,126,-117.245328317660778,45.090438374809594,0.180653150382301,
127,127,-117.045748942077694,45.080723417784270,-0.056724989059862,
128,128,-117.211281131956468,45.142658777836573,0.180653150382301,
129,129,-117.219694290293660,45.142659900590218,0.180653150382301,
130,130,-117.158058796144701,45.111305570373759,0.180653150382301,
131,131,-116.765417721812014,45.256063671989637,0.314788753184125,
132,132,-116.943674859871123,45.269772713692021,0.314788753184125,
133,133,-116.785075417537257,45.531213633994128,0.314788753184125,
134,134,-116.804604846091593,45.525660190597591,0.314788753184125,
135,135,-116.862474508108335,45.310004368548277,0.314788753184125,
136,136,-116.904124252811414,45.388967103580114,-0.114299037495178,
137,137,-117.161073015357601,45.193066279209745,-0.114299037495178,
138,138,-117.034830389576086,45.304288474374459,0.271041158430636,
139,139,-116.871780973270063,45.367243871617177,-0.114299037495178,
140,140,-117.002731964617112,45.251576502544708,-0.114299037495178,
141,141,-116.888638655008492,45.564950532103239,0.271041158430636,
142,142,-116.904292229435498,45.414801006996413,0.271041158430636,
143,143,-116.923499389927883,45.580577519582391,0.271041158430636,
144,144,-116.931224269346842,45.492638817789896,0.271041158430636,
145,145,-117.021014053604688,45.431036987254629,0.271041158430636,
146,146,-116.788756603420040,45.644997839192683,0.002349061846796,
147,147,-116.727640889736676,45.461742078553698,0.002349061846796,
148,148,-116.713873302517072,45.502337379264873,0.002349061846796,
149,149,-116.710365651397751,45.678228029401225,0.002349061846796,
150,150,-116.747267734033130,45.678650701053584,0.002349061846796,
151,151,-116.841286776258471,45.986919577009644,-0.258697097432256,-0.258697097432256
152,152,-116.840342407811363,45.814251006323275,-0.258697097432256,-0.258697097432256
153,153,-116.881288526541027,45.964998922059408,-0.258697097432256,-0.258697097432256
154,154,-116.886990453993462,45.869083322481231,-0.258697097432256,-0.258697097432256
155,155,-116.921992199684496,45.854226472820130,-0.258697097432256,-0.258697097432256
156,156,-117.307939432111311,46.211122013050954,0.335357335223981,0.335357335223981
157,157,-117.221005590465495,46.325936855490625,0.335357335223981,0.335357335223981
158,158,-117.149757934275499,46.263352505671833,0.335357335223981,0.335357335223981
159,159,-117.188782872453260,46.368086675402310,0.335357335223981,0.335357335223981
160,160,-117.516900294983998,46.258530988934865,0.335357335223981,0.335357335223981
161,161,-118.265087493193562,45.129186766406633,0.184878491061649,
162,162,-118.372597193458262,45.171352278074664,0.429670267501457,
163,163,-118.488316726696667,45.103543755737974,0.429670267501457,
164,164,-118.240804721897234,45.093399049046184,0.429670267501457,
165,165,-118.344943028520277,45.147843227558383,0.429670267501457,
166,166,-118.488650311904053,45.269360408244609,-0.056849087882403,
167,167,-118.416055541752826,45.283335712128178,-0.056849087882403,
168,168,-118.548701259746736,45.350576178121742,-0.056849087882403,
169,169,-118.436803195049947,45.354349615939782,-0.056849087882403,
170,170,-118.476243244341731,45.233780725493148,-0.056849087882403,
171,171,-118.126741220343604,45.187806295846940,0.184878491061649,
172,172,-118.296638924599165,45.158726980105087,0.184878491061649,
173,173,-118.302072340382836,45.358613953471206,0.184878491061649,
174,174,-118.236982752344943,45.284782856755953,0.184878491061649,
175,175,-118.187244083708094,45.293747069349308,0.184878491061649,
176,176,-118.264631936305420,45.378689966405091,0.446922855101484,
177,177,-118.347741432586076,45.431457343063983,0.446922855101484,
178,178,-118.146400935253666,45.403636641979233,0.446922855101484,
179,179,-118.090719312487465,45.345244999560350,0.446922855101484,
180,180,-118.094688108498872,45.363772153556056,0.446922855101484,
181,181,-117.812509502782632,45.210268052512220,0.734206588510526,
182,182,-117.766266541876519,45.246443194872654,1.129921183662767,
183,183,-117.747437353081807,45.174498255964409,1.129921183662767,
184,184,-117.704107967371840,45.240058254847213,1.129921183662767,
185,185,-117.877115729139291,45.202705742418743,1.129921183662767,
186,186,-117.887143358707476,45.287782400443859,0.734206588510526,
187,187,-117.867687128390685,45.404337132600517,0.734206588510526,
188,188,-117.801950819340902,45.346152304703196,0.734206588510526,
189,189,-117.846586474129822,45.308346871077447,0.734206588510526,
190,190,-117.805116980581147,45.321614517065541,0.734206588510526,
191,191,-118.018200269987972,45.526001370281904,1.034120440508315,
192,192,-118.036187593914292,45.496136502875288,1.034120440508315,
193,193,-117.947577353144425,45.511045228232831,1.034120440508315,
194,194,-118.050655496899822,45.523909971525711,1.034120440508315,
195,195,-117.995192944389771,45.490987877865223,1.034120440508315,
196,196,-117.734836333193812,45.334220493899295,0.111993816920704,
197,197,-117.711671821200810,45.326217192634374,0.111993816920704,
198,198,-117.860181625712755,45.486075179738862,0.111993816920704,
199,199,-117.751099796604819,45.453448487425703,0.111993816920704,
200,200,-117.777429674845735,45.398580772949856,0.111993816920704,
201,201,-118.009071264081228,45.803529905850269,2.036415483616669,
202,202,-117.858352961295509,45.756076077428702,2.036415483616669,
203,203,-117.887570005219288,45.801905770293786,2.036415483616669,
204,204,-118.015940153906115,45.758604305421727,2.036415483616669,
205,205,-117.838885121375995,45.871123430960893,0.416314686307182,0.416314686307182
206,206,-117.930264239471171,45.629162513006349,1.501127809578692,
207,207,-117.957134870469986,45.671424333786888,1.501127809578692,
208,208,-117.884825019327366,45.647529216927978,1.501127809578692,
209,209,-117.969782451279571,45.590542995423505,1.501127809578692,
210,210,-118.052798606997897,45.579459702215502,1.501127809578692,
211,211,-117.182130380098954,45.203933934623365,-0.114299037495178,
212,212,-117.158904162354474,45.420572672213837,0.672720492944660,
213,213,-117.272115494356910,45.149801412889246,0.672720492944660,
214,214,-117.218919232340909,45.309872343248628,0.672720492944660,
215,215,-117.298024216915678,45.472905991048378,,
216,216,-117.460057045358553,45.437363427961031,0.845948606019876,
217,217,-117.455338105738690,45.359259120211505,0.845948606019876,
218,218,-117.457706945778909,45.377191708781311,0.845948606019876,
219,219,-117.472450224481577,45.538822328929882,0.845948606019876,
220,220,-117.418114075404048,45.381143475101169,0.845948606019876,
221,221,-117.574432758605951,45.517933962699090,0.662009404274715,
222,222,-117.463017670119825,45.316956706952283,0.662009404274715,
223,223,-117.508889187110185,45.441525309268172,0.662009404274715,
